name,config_size,real,user,sys,max_mem
delannoy,12,0.76,0.76,0.00,1344
delannoy,13,4.31,4.29,0.00,1424
delannoy,14,24.22,24.16,0.00,1432
delannoy,12,0.76,0.76,0.00,1276
delannoy,13,4.29,4.28,0.00,1356
delannoy,14,24.03,23.97,0.00,1360
delannoy,12,0.77,0.76,0.00,1356
delannoy,13,4.29,4.27,0.00,1400
delannoy,14,24.01,23.96,0.00,1388
delannoy,12,0.76,0.76,0.00,1384
delannoy,13,4.27,4.26,0.00,1368
delannoy,14,24.11,24.06,0.00,1344
delannoy,12,0.76,0.76,0.00,1360
delannoy,13,4.29,4.27,0.00,1356
delannoy,14,24.02,23.96,0.00,1360
delannoy,12,0.76,0.76,0.00,1356
delannoy,13,4.27,4.26,0.00,1356
delannoy,14,24.11,24.06,0.00,1424
delannoy,12,0.76,0.76,0.00,1356
delannoy,13,4.29,4.28,0.00,1344
delannoy,14,24.03,23.96,0.00,1424
delannoy,12,0.76,0.76,0.00,1364
delannoy,13,4.27,4.26,0.00,1356
delannoy,14,24.16,24.10,0.00,1368
delannoy,12,0.76,0.76,0.00,1456
delannoy,13,4.30,4.29,0.00,1340
delannoy,14,24.07,24.00,0.00,1280
delannoy,12,0.77,0.76,0.00,1280
delannoy,13,4.27,4.26,0.00,1364
delannoy,14,24.14,24.09,0.00,1340

# Statistics computed by automated_evaluator.py
# Configuration: config_size=12
# max_mem: 1353.2 [2567.288888888889]
# real: 0.762 [1.777777777777781e-05]
# sys: 0.0 [0.0]
# user: 0.76 [0.0]
#
# Configuration: config_size=13
# max_mem: 1366.4 [676.2666666666667]
# real: 4.285 [0.00020555555555555862]
# sys: 0.0 [0.0]
# user: 4.272 [0.00015111111111111493]
#
# Configuration: config_size=14
# max_mem: 1372.0 [2204.4444444444443]
# real: 24.09 [0.004888888888888806]
# sys: 0.0 [0.0]
# user: 24.032 [0.005151111111111093]
#
