name,config_particles,real,user,sys,max_mem
nbody-1000,1000,2.56,2.55,0.00,1892
nbody-1000,1000,2.57,2.56,0.00,1896
nbody-1000,1000,2.56,2.55,0.00,1844
nbody-1000,1000,2.56,2.56,0.00,1812
nbody-1000,1000,2.57,2.56,0.00,1896
nbody-1000,1000,2.56,2.55,0.00,1816
nbody-1000,1000,2.55,2.55,0.00,1876
nbody-1000,1000,2.57,2.56,0.00,1872
nbody-1000,1000,2.55,2.55,0.00,1876
nbody-1000,1000,2.56,2.55,0.00,1936
nbody-1000,1000,2.55,2.54,0.00,1876
nbody-1000,1000,2.56,2.56,0.00,1892
nbody-1000,1000,2.56,2.55,0.00,1772
nbody-1000,1000,2.56,2.56,0.00,1904
nbody-1000,1000,2.55,2.55,0.00,1872
nbody-1000,1000,2.56,2.56,0.00,1904
nbody-1000,1000,2.56,2.56,0.00,1920
nbody-1000,1000,2.57,2.56,0.00,1812
nbody-1000,1000,2.55,2.54,0.00,1872
nbody-1000,1000,2.56,2.55,0.00,1916
nbody-1000,1000,2.55,2.54,0.00,1888
nbody-1000,1000,2.56,2.56,0.00,1936
nbody-1000,1000,2.55,2.55,0.00,1948
nbody-1000,1000,2.55,2.55,0.00,1816
nbody-1000,1000,2.56,2.56,0.00,1812

# Statistics computed by automated_evaluator.py
# Configuration: config_particles=1000
# max_mem: 1874.24 [2093.44]
# real: 2.5584 [4.7333333333333804e-05]
# sys: 0.0 [0.0]
# user: 2.5532 [4.76666666666674e-05]
#
