name,config_problem,real,user,sys,max_mem
qap,problems/chr15a.dat,3.58,3.56,0.00,1500
qap,problems/chr15b.dat,0.97,0.96,0.00,1484
qap,problems/chr15c.dat,3.24,3.22,0.00,1492
qap,problems/chr15a.dat,3.55,3.54,0.00,1564
qap,problems/chr15b.dat,0.95,0.95,0.00,1560
qap,problems/chr15c.dat,3.22,3.21,0.00,1412
qap,problems/chr15a.dat,3.53,3.52,0.00,1492
qap,problems/chr15b.dat,0.95,0.95,0.00,1588
qap,problems/chr15c.dat,3.22,3.21,0.00,1416
qap,problems/chr15a.dat,3.53,3.52,0.00,1536
qap,problems/chr15b.dat,0.95,0.94,0.00,1488
qap,problems/chr15c.dat,3.23,3.22,0.00,1516
qap,problems/chr15a.dat,3.52,3.51,0.00,1416
qap,problems/chr15b.dat,0.95,0.95,0.00,1564
qap,problems/chr15c.dat,3.22,3.21,0.00,1492
qap,problems/chr15a.dat,3.53,3.52,0.00,1492
qap,problems/chr15b.dat,0.96,0.96,0.00,1492
qap,problems/chr15c.dat,3.22,3.21,0.00,1512
qap,problems/chr15a.dat,3.54,3.53,0.00,1488
qap,problems/chr15b.dat,0.96,0.95,0.00,1504
qap,problems/chr15c.dat,3.24,3.23,0.00,1480
qap,problems/chr15a.dat,3.54,3.53,0.00,1492
qap,problems/chr15b.dat,0.96,0.95,0.00,1588
qap,problems/chr15c.dat,3.23,3.22,0.00,1496
qap,problems/chr15a.dat,3.54,3.53,0.00,1504
qap,problems/chr15b.dat,0.95,0.95,0.00,1512
qap,problems/chr15c.dat,3.25,3.23,0.00,1512
qap,problems/chr15a.dat,3.53,3.52,0.00,1560
qap,problems/chr15b.dat,0.96,0.96,0.00,1588
qap,problems/chr15c.dat,3.22,3.21,0.00,1504
qap,problems/chr15a.dat,3.58,3.57,0.00,1492
qap,problems/chr15b.dat,0.95,0.95,0.00,1536
qap,problems/chr15c.dat,3.24,3.23,0.00,1516
qap,problems/chr15a.dat,3.54,3.53,0.00,1496
qap,problems/chr15b.dat,0.96,0.96,0.00,1488
qap,problems/chr15c.dat,3.21,3.21,0.00,1480
qap,problems/chr15a.dat,3.55,3.54,0.00,1476
qap,problems/chr15b.dat,0.95,0.95,0.00,1412
qap,problems/chr15c.dat,3.24,3.23,0.00,1508
qap,problems/chr15a.dat,3.53,3.52,0.00,1512
qap,problems/chr15b.dat,0.96,0.96,0.00,1588
qap,problems/chr15c.dat,3.23,3.22,0.00,1504
qap,problems/chr15a.dat,3.56,3.54,0.00,1564
qap,problems/chr15b.dat,0.95,0.95,0.00,1484
qap,problems/chr15c.dat,3.24,3.23,0.00,1504
qap,problems/chr15a.dat,3.52,3.51,0.00,1588
qap,problems/chr15b.dat,0.95,0.95,0.00,1508
qap,problems/chr15c.dat,3.22,3.21,0.00,1484
qap,problems/chr15a.dat,3.54,3.53,0.00,1508
qap,problems/chr15b.dat,0.95,0.95,0.00,1492
qap,problems/chr15c.dat,3.22,3.22,0.00,1492
qap,problems/chr15a.dat,3.53,3.52,0.00,1412
qap,problems/chr15b.dat,0.96,0.95,0.00,1480
qap,problems/chr15c.dat,3.21,3.20,0.00,1508
qap,problems/chr15a.dat,3.56,3.55,0.00,1496
qap,problems/chr15b.dat,0.97,0.97,0.00,1496
qap,problems/chr15c.dat,3.24,3.22,0.00,1560
qap,problems/chr15a.dat,3.55,3.54,0.00,1480
qap,problems/chr15b.dat,0.95,0.95,0.00,1480
qap,problems/chr15c.dat,3.22,3.21,0.00,1484
qap,problems/chr15a.dat,3.55,3.54,0.00,1508
qap,problems/chr15b.dat,0.96,0.95,0.00,1584
qap,problems/chr15c.dat,3.23,3.22,0.00,1564
qap,problems/chr15a.dat,3.56,3.55,0.00,1504
qap,problems/chr15b.dat,0.95,0.95,0.00,1476
qap,problems/chr15c.dat,3.22,3.21,0.00,1512
qap,problems/chr15a.dat,3.55,3.55,0.00,1496
qap,problems/chr15b.dat,0.95,0.95,0.00,1492
qap,problems/chr15c.dat,3.23,3.22,0.00,1492
qap,problems/chr15a.dat,3.53,3.52,0.00,1588
qap,problems/chr15b.dat,0.97,0.96,0.00,1496
qap,problems/chr15c.dat,3.23,3.22,0.00,1564
qap,problems/chr15a.dat,3.55,3.54,0.00,1492
qap,problems/chr15b.dat,0.96,0.95,0.00,1496
qap,problems/chr15c.dat,3.22,3.21,0.00,1592

# Statistics computed by automated_evaluator.py
# Configuration: config_problem=problems/chr15a.dat
# max_mem: 1506.24 [1841.44]
# real: 3.5436 [0.00025733333333333484]
# sys: 0.0 [0.0]
# user: 3.5332 [0.00023099999999999995]
#
# Configuration: config_problem=problems/chr15b.dat
# max_mem: 1515.04 [2156.3733333333334]
# real: 0.956 [5.000000000000009e-05]
# sys: 0.0 [0.0]
# user: 0.9528 [3.766666666666673e-05]
#
# Configuration: config_problem=problems/chr15c.dat
# max_mem: 1503.84 [1557.9733333333334]
# real: 3.2276000000000002 [0.00011066666666666683]
# sys: 0.0 [0.0]
# user: 3.2172 [7.100000000000028e-05]
#
